ID,Resort,Latitude,Longitude,Country,Continent,Season,Lift capacity,Child friendly,Snowparks,Nightskiing,Summer skiing
374,Abetone-?Val di Luce,44.1314375,10.6306384,Italy,Europe,December - April,24056,Yes,Yes,No,No
375,Gerlitzen,46.69476,13.9143318,Austria,Europe,December - April,22220,Yes,Yes,No,No
376,Paganella-Andalo,46.1572963,11.00551108,Italy,Europe,November - April,23996,Yes,Yes,Yes,No
377,Melchsee-Frutt-Kerns-,46.77452445,8.271634234,Switzerland,Europe,December - April,14150,Yes,Yes,Yes,No
378,Vall de Nu?ria,42.3944498,2.1549868,Spain,Europe,Unknown,4840,Yes,No,No,No
379,Are?ches-Beaufort-,45.66298915,6.566319098,France,Europe,December - April,14462,Yes,Yes,No,No
380,S?pindleru?v Mly?n,50.7256448,15.6067567,Czech Republic,Europe,December - April,21638,Yes,Yes,Yes,No
381,Les Mosses-?La Le?cherette,46.3960939,7.1018391,Switzerland,Europe,December - April,10540,Yes,No,No,No
382,Dizin,36.0508147,51.4155456,Iran,Asia,November - May,18760,Yes,Yes,No,No
383,Gala Yuzawa-?Ishiuchi Maruyama,36.9502508,138.7995543,Japan,Asia,December - May,39400,Yes,Yes,Yes,No
384,YongPyong Resort,37.645906,128.681814,South Korea,Asia,November - April,27400,Yes,No,Yes,No
385,Cimone-Montecreto-?Sestola-?Le Polle,45.97985,11.0630167,Italy,Europe,November - April,23746,Yes,Yes,No,No
386,Luchon Superbagne?res,42.768303,0.5780217,France,Europe,December - April,15965,Yes,Yes,No,No
387,High Resort,37.207294,128.824816,South Korea,Asia,December - April,26685,Yes,No,No,No
388,La Parva,-33.3355943,-70.2899972,Chile,South America,June - October,13740,Yes,Yes,No,Yes
389,Le?lex-?Crozet,46.3026091,5.9407475,France,Europe,December - March,16750,Yes,Yes,No,No
390,Alpika Service,43.667196,40.246821,Russia,Europe,December - April,18120,Yes,No,No,No
391,Sinaia,45.3456607,25.5479283,Romania,Europe,Unknown,9864,Yes,No,No,No
392,Furano,43.3419744,142.383188,Japan,Asia,November - May,12650,Yes,Yes,Yes,No
393,Gourette-Eaux Bonnes-,42.9438107,-0.3291295,France,Europe,December - April,19660,Yes,Yes,No,No
394,Whiteface-Lake Placid,44.36586225,-73.83531534,United States,North America,November - April,14200,Yes,Yes,No,No
395,Rauriser Hochalmbahnen-Rauris,47.223392,12.990109,Austria,Europe,December - April,11927,Yes,Yes,No,No
396,Hoch-Ybrig-Unteriberg-?Oberiberg,47.01175015,8.787310015,Switzerland,Europe,December - April,16650,Yes,Yes,No,No
397,Meran,46.6655583,11.3071256,Italy,Europe,December - March,9478,Yes,Yes,No,No
398,Na?tschen-Andermatt,46.65201925,8.622667027,Switzerland,Europe,December - March,13600,Yes,No,No,No
399,Hoshino Resorts Tomamu,43.065765,142.63264,Japan,Asia,Unknown,12400,Yes,No,No,No
400,Albiez-Montrond,45.2174088,6.340903,France,Europe,December - April,10432,Yes,No,No,No
401,Tarvisio-Monte Lussari,46.4817326,13.5208066,Italy,Europe,December - April,17354,Yes,Yes,Yes,No
402,Mount Parnassos-Fterolakka-?Kellaria,38.547732,22.589641,Greece,Europe,Unknown,20052,Yes,No,No,No
403,Moelltal Glacier-Mo?lltaler Gletscher-,46.980483,13.050646,Austria,Europe,June - May,15610,Yes,Yes,No,Yes
404,Wendelstein-Brannenburg-?Osterhofen,49.3559425,11.1441047,Germany,Europe,December - March,3250,Yes,No,No,No
405,Glenshee,56.7410308,-3.3999352,United Kingdom,Europe,December - April,16255,Yes,No,No,No
406,Sulden am Ortler-Solda all'Ortles-,46.5090706,10.59678748,Italy,Europe,November - May,15418,Yes,Yes,Yes,No
407,The Summit at Snoqualmie,47.424462,-121.417071,United States,North America,December - April,30400,Yes,Yes,Yes,No
408,Poiana Bras?ov,45.5967098,25.5561895,Romania,Europe,December - April,11038,Yes,No,Yes,No
409,Hinterstoder-Ho?ss,47.66612225,14.17403784,Austria,Europe,December - April,18464,Yes,Yes,No,No
410,St - Jean Montclar,44.411775,6.3510526,France,Europe,December - April,13320,Yes,No,No,No
411,Port del Comte,42.1694417,1.5696298,Spain,Europe,Unknown,13750,Yes,No,No,No
412,Ta?nndalen,62.5423638,12.3360263,Sweden,Europe,Unknown,19270,Yes,No,No,No
413,Feldberg-Seebuck-?Grafenmatt-?Fahl,47.86345025,8.070282232,Germany,Europe,December - April,17624,Yes,Yes,No,No
414,Pitztal Glacier-Pitztaler Gletscher-,46.926915,10.87096,Austria,Europe,September - May,10935,Yes,Yes,No,No
415,Kiroro,34.7525668,135.4329789,Japan,Asia,Unknown,13800,Yes,No,Yes,No
416,Tauplitz-Bad Mitterndorf,47.57728095,13.98478445,Austria,Europe,December - April,18525,Yes,No,No,No
417,Hochoetz-Oetz,47.22172465,11.02137443,Austria,Europe,December - April,17422,Yes,Yes,No,No
418,Rosshu?tte-Seefeld,47.330727,11.1998705,Austria,Europe,December - April,12363,Yes,Yes,Yes,No
419,Malbun,47.102619,9.6083069,Liechtenstein,Europe,December - April,8800,Yes,Yes,No,No
420,S?pic?a?k,50.2975226,17.0116784,Czech Republic,Europe,December - April,7390,Yes,Yes,Yes,No
421,Riesneralm-Donnersbachwald,47.37659935,14.10532135,Austria,Europe,December - April,6880,Yes,No,No,No
422,Berwang-?Bichlbach-?Rinnen,47.4131478,10.74173242,Austria,Europe,December - April,15623,Yes,No,Yes,No
423,Glungezer-Tulfes,47.2075977,11.5283837,Austria,Europe,December - April,7116,Yes,Yes,No,No
424,Fanningberg,47.1489018,13.6932252,Austria,Europe,December - April,7162,Yes,Yes,No,No
425,Tamarack Resort,44.6700061,-116.1225024,United States,North America,December - April,8700,Yes,Yes,No,No
426,Turracher Ho?he,46.91448535,13.87352444,Austria,Europe,November - May,18268,Yes,Yes,Yes,No
427,Indoor ski area Snow Arena-Druskininkai,54.03173,23.960042,Lithuania,Europe,Year-round,2800,Yes,Yes,Yes,Yes
428,Niedere-Andelsbuch-?Bezau,47.4002902,9.9376361,Austria,Europe,December - March,6043,Yes,No,No,No
429,Summit Ski Area at Mt - Hood,45.303419,-121.745667,United States,North America,December - April,1200,Yes,No,No,No
430,Wurzeralm-Spital am Pyhrn,47.6279977,14.3162785,Austria,Europe,December - April,9048,Yes,No,No,No
431,Pra?bichl-Vordernberg,47.5208498,14.9512205,Austria,Europe,December - April,6624,Yes,Yes,No,No
432,Pfelders-Moos in Passeier-,46.7952778,11.0895074,Italy,Europe,December - April,4300,Yes,Yes,Yes,No
433,Mitterdorf-Almberg-– Mitterfirmiansreut,48.888874,13.643595,Germany,Europe,December - March,6266,Yes,No,Yes,No
434,Lavarone,45.94128935,11.28863808,Italy,Europe,December - April,12040,Yes,No,No,No
435,Bolton Valley,39.3455111,-78.7571921,United States,North America,December - April,7200,Yes,Yes,Yes,No
436,Geißkopf-Bischofsmais,48.9240769,13.0374226,Germany,Europe,December - March,6950,Yes,Yes,Yes,No
437,Donovaly-Park Snow-,48.8878953,19.2468587,Slovakia,Europe,Unknown,13620,Yes,Yes,Yes,No
438,Kobla-Bohinj,46.2338617,13.9650643,Slovenia,Europe,December - March,5720,Yes,No,No,No
439,Sudelfeld-Bayrischzell,47.6717401,12.04163164,Germany,Europe,Unknown,17477,Yes,Yes,No,No
440,Gru?ntenlifte-Kranzegg-Rettenberg-,47.5824873,10.3212662,Germany,Europe,December - April,7420,Yes,Yes,No,No
